advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
laud,lɔːd,verb,tán dương,to praise,The critics lauded the director's work.,Các nhà phê bình đã tán dương tác phẩm của đạo diễn.,His performance was lauded by everyone.,Màn trình diễn của anh ấy đã được mọi người ca ngợi.,C1,,,,,The critics _____________ the director's work.,His performance was _____________ by everyone.,be an item,là một cặp,midriff,vùng eo,ripe old age,tuổi cao,doddery,lẩm cẩm,blissfully,một cách hạnh phúc,The performance arts: reviews and critiques
miscast,ˌmɪsˈkɑːst,verb,chọn sai diễn viên,to choose an unsuitable actor,I think the actor was miscast in that role.,Tôi nghĩ diễn viên đó đã bị chọn sai cho vai diễn đó.,She was miscast as the villain.,Cô ấy đã bị chọn sai để đóng vai phản diện.,C1,,,,,I think the actor was _____________ in that role.,She was _____________ as the villain.,black-tie,trang phục dạ hội trang trọng,overalls,quần yếm,test-tube baby,trẻ thụ tinh trong ống nghiệm,fatality,trường hợp tử vong,conciliate,hòa giải,The performance arts: reviews and critiques
slate,sleɪt,verb,chỉ trích,to criticize harshly,The critics slated the new movie.,Các nhà phê bình đã chỉ trích bộ phim mới.,The play was slated in the newspapers.,Vở kịch đã bị các tờ báo chê bai.,C1,,,,,The critics _____________ the new movie.,The play was _____________ in the newspapers.,clique,bè lũ,revealing,hở hang,uterus,tử cung,gaga,lẩm cẩm,covet,thèm muốn,The performance arts: reviews and critiques
rehearsal,/rɪˈhɜːsl/,Noun,buổi diễn tập,"time that is spent practising a play, dance, etc. in preparation for a performance",We have a dress rehearsal tomorrow morning.,Chúng tôi có buổi tổng duyệt trang phục vào sáng mai.,The rehearsal went smoothly and finished early.,Buổi diễn tập đã diễn ra suôn sẻ và kết thúc sớm.,B1,,,,,We have a dress _____________ tomorrow morning.,The _____________ went smoothly and finished early.,frosty,"băng giá, lạnh giá, lạnh nhạt",reveal,"Tiết lộ, công bố (thông tin, kế hoạch)",hang out,"đi chơi, lui tới, giao lưu (với đồng nghiệp ngoài giờ)",human beings,con người,on cloud nine,trên chín tầng mây,The performance arts: reviews and critiques
audition,/ɔːˈdɪʃn/,noun,"buổi thử vai, buổi thử giọng","a short performance by an actor, a singer, etc., that someone judges to decide if they are good enough to be in a play, film, concert, etc.",She has an audition for a role in a television drama next week.,Cô ấy có một buổi thử vai cho một vai diễn trong phim truyền hình vào tuần tới.,Hundreds of dancers attended the open audition.,Hàng trăm vũ công đã tham dự buổi thử giọng mở.,B2,,,,,She has an _____________ for a role in a television drama next week.,Hundreds of dancers attended the open _____________.,tend,có xu hướng,original,"Nguyên bản, gốc, độc đáo",monarchy,"Chế độ quân chủ, nền quân chủ",dishonest,"Không trung thực, gian dối",hop,"nhảy lò cò, nhảy cục bộ",The performance arts: reviews and critiques
bomb,/bɒm/,noun,quả bom,a weapon designed to explode at a particular time or when it is dropped or thrown,The bomb exploded in the city center.,Quả bom phát nổ ở trung tâm thành phố.,They defused the bomb just in time.,Họ gỡ kíp nổ quả bom vừa kịp lúc.,B1,,,,,The _____________ exploded in the city center.,They defused the _____________ just in time.,doodle,vẽ nguệch ngoạc (khi mất tập trung),journal,Tạp chí (chuyên ngành),summarize,tóm tắt,original,"Nguyên bản, gốc, độc đáo",bold,"Dũng cảm, táo bạo",The performance arts: reviews and critiques
cover,/ˈkʌvə(r)/,verb,"che, phủ, bao phủ",to place something over or in front of something,The insurance policy covers all accidental damage.,Chính sách bảo hiểm chi trả cho mọi thiệt hại do tai nạn.,This report covers the first quarter of the fiscal year.,Báo cáo này bao gồm quý đầu tiên của năm tài chính.,B1,,,,,The insurance policy _____________ all accidental damage.,This report _____________ the first quarter of the fiscal year.,avoid,tránh,appeal,"kêu gọi, kháng cáo",earth,"trái đất, đất",camping,việc cắm trại,count,"đếm, tính toán",The performance arts: reviews and critiques
portrayal,/pɔːˈtreɪəl/,noun,sự miêu tả,"the act of showing or describing somebody or something in a picture, play, book, etc.","Her portrayal of the queen was both powerful and nuanced, earning her critical acclaim.","Sự thể hiện hình tượng nữ hoàng của cô ấy vừa mạnh mẽ vừa tinh tế, mang về cho cô sự ca ngợi từ giới phê bình.","The famous actor publicly and passionately criticized what he viewed as the film's shallow, insensitive, and one-dimensional portrayal of a complex and marginalized community, arguing that it relied far too heavily on tired, harmful, and reductive stereotypes rather than offering any genuine, nuanced insight or authentic human understanding.","Nam diễn viên nổi tiếng đã công khai và kịch liệt chỉ trích những gì ông coi là sự miêu tả hời hợt, vô cảm và một chiều của bộ phim về một cộng đồng phức tạp và bị gạt ra ngoài lề, lập luận rằng nó dựa quá nhiều vào các định kiến mệt mỏi, có hại và đơn giản hóa thay vì cung cấp bất kỳ cái nhìn sâu sắc, nhiều sắc thái chân thực nào hoặc sự thấu hiểu chân thực về con người.",B2,,,,,"Her _____________ of the queen was both powerful and nuanced, earning her critical acclaim.","The famous actor publicly and passionately criticized what he viewed as the film's shallow, insensitive, and one-dimensional _____________ of a complex and marginalized community, arguing that it relied far too heavily on tired, harmful, and reductive stereotypes rather than offering any genuine, nuanced insight or authentic human understanding.",router,bộ định tuyến,deadline,Hạn chót,customary,"theo thông lệ, theo phong tục",cover,"che, phủ, bao phủ",ceiling,trần nhà,The performance arts: reviews and critiques
unconvincing,/ˌʌnkənˈvɪnsɪŋ/,adjective,không thuyết phục,not seeming true or real; not making you believe that something is true,His excuse for being late was very unconvincing.,Lý do đi muộn của anh ta rất không thuyết phục.,"The villain's sudden change of heart at the end of the movie felt forced and completely unconvincing, as if it was just a cheap way to give the story a happy ending.","Sự thay đổi trái tim đột ngột của nhân vật phản diện ở cuối phim có vẻ gượng ép và hoàn toàn không thuyết phục, như thể đó chỉ là một cách rẻ tiền để mang lại cho câu chuyện một kết thúc có hậu.",C1,,,,,His excuse for being late was very _____________.,"The villain's sudden change of heart at the end of the movie felt forced and completely _____________, as if it was just a cheap way to give the story a happy ending.",uncooperative,"không hợp tác, không chịu cộng tác",in the nick of time,kịp lúc,migration,di cư,congested,"Đông nghẹt, tắc nghẽn",Consideration,Sự cân nhắc,The performance arts: reviews and critiques
interpretation,/ɪnˌtɜːprəˈteɪʃn/,Noun,"sự thể hiện, diễn xuất, cách hiểu","the particular way in which an actor, musician, etc., chooses to perform a piece of work; the particular way in which someone understands or explains something",The actor gave a fresh interpretation of the classic character.,Nam diễn viên đã có một cách thể hiện mới mẻ về nhân vật kinh điển.,Her interpretation of the song was both unique and moving.,Cách thể hiện bài hát của cô ấy vừa độc đáo vừa cảm động.,B2,,,,,The actor gave a fresh _____________ of the classic character.,Her _____________ of the song was both unique and moving.,labor,"lao động, nhân công",reserved,"dè dặt, kín đáo",rapport,"sự hòa hợp, sự thấu hiểu lẫn nhau",male,"nam giới, con đực",information,Thông tin,The performance arts: reviews and critiques
applause,əˈplɔːz,noun,tràng pháo tay,clapping,The performer received a round of applause.,Người biểu diễn đã nhận được một tràng vỗ tay.,The crowd broke into applause.,Đám đông vỡ òa trong tràng pháo tay.,B2,,,,,The performer received a round of _____________.,The crowd broke into _____________.,fancy dress,trang phục hóa trang,skimpy,thiếu vải,be into somebody,thích,keep ones wits about one,giữ bình tĩnh,coveted,được thèm muốn,The performance arts: reviews and critiques
disjointed,dɪsˈdʒɔɪntɪd,adjective,rời rạc,not connected,The argument was disjointed and hard to follow.,Lập luận rời rạc và khó theo dõi.,Her speech was a bit disjointed.,Bài phát biểu của cô ấy hơi không mạch lạc.,C1,,,,,The argument was _____________ and hard to follow.,Her speech was a bit _____________.,hobnob,giao du,a matter of life and death,vấn đề sống còn,calming,êm đềm,mourning,sự để tang,crave,khao khát,The performance arts: reviews and critiques
encore,ˈɒŋkɔː(r),noun,màn biểu diễn lại,extra performance,The audience cheered and demanded an encore.,Khán giả hò reo và yêu cầu một màn biểu diễn lại.,The band played an encore at the end of the show.,Ban nhạc đã chơi thêm một bài theo yêu cầu vào cuối buổi biểu diễn.,B2,,,,,The audience cheered and demanded an _____________.,The band played an _____________ at the end of the show.,house-warming,tiệc tân gia,drive home,đánh trúng tâm lý,dabbler,người học đòi,on ones last legs,sắp hỏng,craving,sự thèm muốn,The performance arts: reviews and critiques
far-fetched,ˌfɑː ˈfetʃt,adjective,gượng gạo / khó tin,difficult to believe,The plot of the movie is a bit far-fetched.,Cốt truyện của bộ phim hơi gượng gạo.,His explanation is too far-fetched.,Lời giải thích của anh ấy quá khó tin.,C1,,,,,The plot of the movie is a bit _____________.,His explanation is too _____________.,knock around,đi cùng nhau,furnished,được trang bị nội thất,hooked,bị nghiện,pensioner,người hưởng lương hưu,defuse,xoa dịu,The performance arts: reviews and critiques
hackneyed,ˈhæknid,adjective,nhàm chán,overused and boring,The plot of the movie was hackneyed and predictable.,Cốt truyện của bộ phim nhàm chán và có thể đoán trước.,His speech was full of hackneyed phrases.,Bài phát biểu của anh ấy đầy những cụm từ sáo mòn.,C1,,,,,The plot of the movie was _____________ and predictable.,His speech was full of _____________ phrases.,party animal,người thích tiệc tùng,granny flat,căn hộ phụ,lawn,bãi cỏ,scatter,rải,exultant,hân hoan,The performance arts: reviews and critiques
harrowing,ˈhærəʊɪŋ,adjective,đau lòng,very distressing,The film depicted the harrowing reality of war.,Bộ phim đã miêu tả hiện thực bi thảm của chiến tranh.,She told us a harrowing story about her escape.,Cô ấy đã kể cho chúng tôi một câu chuyện đau lòng về cuộc trốn thoát của mình.,C1,,,,,The film depicted the _____________ reality of war.,She told us a _____________ story about her escape.,rub shoulders with,tiếp xúc với,hit home,làm cho thấu hiểu,dolled up,trang điểm diện đồ,bequeath,để lại (di chúc),placate,xoa dịu,The performance arts: reviews and critiques
moving,ˈmuːvɪŋ,adjective,cảm động,emotional,I found the film very moving.,Tôi thấy bộ phim rất cảm động.,Her speech was very moving.,Bài phát biểu của cô ấy rất xúc động.,B2,,,,,I found the film very _____________.,Her speech was very _____________.,socializing,việc giao lưu xã hội,home truth,sự thật mất lòng,dressed-up,ăn diện,bequest,vật để lại,rejoice,vui mừng,The performance arts: reviews and critiques
overrated,ˌəʊvəˈreɪtɪd,adjective,được đánh giá quá cao,thought to be better than it is,That restaurant is highly overrated.,Nhà hàng đó bị đánh giá quá cao.,I think his novels are overrated.,Tôi nghĩ những cuốn tiểu thuyết của anh ấy bị thổi phồng.,C1,,,,,That restaurant is highly _____________.,I think his novels are _____________.,stag party,tiệc độc thân (cho nam),hovel,túp lều tồi tàn,hand in glove,sâu sát,deceased,người đã khuất,utter,hoàn toàn / tuyệt đối,The performance arts: reviews and critiques
pan,pæn,verb,phê bình gay gắt,to criticize strongly,The critics panned the movie.,Các nhà phê bình đã phê bình gay gắt bộ phim.,The play was panned by the critics.,Vở kịch đã bị giới phê bình chê bai.,C1,,,,,The critics _____________ the movie.,The play was _____________ by the critics.,boo,la ó,in the fast lane,lối sống hối hả,have something up ones sleeve,có kế hoạch bí mật,intestate,không để lại di chúc,yearn,mong mỏi / ao ước,The performance arts: reviews and critiques
risque,ˈrɪskeɪ,adjective,táo bạo,slightly rude,The comedian told a few risque jokes.,Diễn viên hài đã kể một vài câu chuyện cười táo bạo.,The dress is a bit risque.,Chiếc váy hơi hở hang.,C1,,,,,The comedian told a few _____________ jokes.,The dress is a bit _____________.,flop,sự thất bại,make oneself at home,cứ tự nhiên,High Street,phố mua sắm chính,perish,chết,yearning,sự khao khát,The performance arts: reviews and critiques
standing ovation,ˌstændɪŋ əʊˈveɪʃn,noun,sự hoan hô nhiệt liệt,audience standing and clapping,The audience gave the performer a standing ovation.,Khán giả đã dành cho người biểu diễn một sự hoan hô nhiệt liệt bằng cách đứng dậy.,She received a standing ovation from the crowd.,Cô ấy đã nhận được tràng pháo tay vang dội từ đám đông.,C1,,,,,The audience gave the performer a _____________.,She received a _____________ from the crowd.,laud,tán dương,new lease of life,sức sống mới,no-frills,đơn giản,conception,sự thụ thai,dejected,chán nản,The performance arts: reviews and critiques
understated,ˌʌndəˈsteɪtɪd,adjective,giản dị,not exaggerated,The decor is understated but elegant.,Trang trí giản dị nhưng thanh lịch.,I prefer understated clothing.,Tôi thích quần áo không phô trương.,C1,,,,,The decor is _____________ but elegant.,I prefer _____________ clothing.,miscast,chọn sai diễn viên,social housing,nhà ở xã hội,off the cuff,ứng khẩu,embryonal,thuộc phôi thai,devastated,suy sụp,The performance arts: reviews and critiques
up-and-coming,ˌʌp ən ˈkʌmɪŋ,adjective,đầy triển vọng,likely to be successful,He is a talented up-and-coming actor.,Anh ấy là một diễn viên trẻ đầy triển vọng.,The gallery focuses on up-and-coming artists.,Phòng trưng bày tập trung vào các nghệ sĩ mới nổi.,C1,,,,,He is a talented _____________ actor.,The gallery focuses on _____________ artists.,slate,chỉ trích,take ones life into ones own hands,liều mạng,off the peg,may sẵn,fertility drug,thuốc hỗ trợ sinh sản,distraught,quẫn trí,The performance arts: reviews and critiques
hilarious,/hɪˈleə.ri.əs/,Adjective,"vô cùng hài hước, tức cười",extremely funny,The comedian’s new show is absolutely hilarious.,Chương trình mới của diễn viên hài thực sự vô cùng hài hước.,The movie we watched last night was absolutely hilarious; I couldn't stop laughing for hours.,Bộ phim chúng tôi xem tối qua thực sự vui nhộn; tôi đã không thể ngừng cười trong nhiều giờ liền.,B2,,,,,The comedian’s new show is absolutely _____________.,The movie we watched last night was absolutely _____________; I couldn't stop laughing for hours.,with regard to,liên quan đến,gas station,trạm xăng,asylum,bệnh viện tâm thần,be made for,sinh ra là để cho,obstetrics,khoa sản,The performance arts: reviews and critiques
masterpiece,ˈmɑːstəpiːs,noun,Kiệt tác,"A work of art such as a painting, film, or book which is done or made with great skill.",Many consider this novel his masterpiece.,Nhiều người coi cuốn tiểu thuyết này là kiệt tác của ông.,The museum acquired a masterpiece by Van Gogh.,Bảo tàng đã có được một kiệt tác của Van Gogh.,B2,,,,,Many consider this novel his _____________.,The museum acquired a _____________ by Van Gogh.,hydroelectric,thủy điện,grant,"Khoản trợ cấp, tài trợ.",implant,Cấy ghép,artificial intelligence,Trí tuệ nhân tạo,alarmed,"lo lắng, hoảng hốt",The performance arts: reviews and critiques
award,/əˈwɔːd/,verb,"Trao tặng, trao giải","to make an official decision to give something to somebody as a payment, prize, etc.",He won the award for best actor.,Anh ấy đã giành giải nam diễn viên xuất sắc nhất.,The contract was awarded to the most experienced supplier.,Hợp đồng đã được trao cho nhà cung cấp có kinh nghiệm nhất.,B1,,,,,He won the _____________ for best actor.,The contract was _____________ to the most experienced supplier.,charge,Sạc điện; tính phí,fund,"Tài trợ, cấp vốn",capital,Vốn.,speaker,loa (âm thanh),objection,"sự phản đối, lý do phản đối",The performance arts: reviews and critiques
unforgettable,/ˌʌn.fəˈɡet.ə.bəl/,adj,Không thể quên,Impossible to forget,The trip to Ha Long Bay was unforgettable.,Chuyến đi đến Vịnh Hạ Long thật đáng nhớ.,My trip to Japan was an absolutely unforgettable experience.,Chuyến đi Nhật Bản của tôi là một trải nghiệm hoàn toàn không thể quên.,B2,,,,,The trip to Ha Long Bay was _____________.,My trip to Japan was an absolutely _____________ experience.,cover,"che, phủ, bao phủ",stock,hàng tồn kho,ceiling,trần nhà,uniform,Đồng phục,put down,"đặt xuống, ghi chép lại, hạ thấp/chê bai",The performance arts: reviews and critiques
memorable,/ˈmemərəbl/,adjective,"đáng nhớ, khó quên","worth remembering or easy to remember, because it is special or unusual",We had a memorable trip to the mountains.,Chúng tôi đã có một chuyến đi đáng nhớ lên núi.,Our trip to Japan was a truly memorable experience.,Chuyến đi đến Nhật Bản của chúng tôi là một trải nghiệm thực sự đáng nhớ.,B1,,,,,We had a _____________ trip to the mountains.,Our trip to Japan was a truly _____________ experience.,praiseworthy,Đáng khen ngợi,misuse,sử dụng sai,collaboration,"sự cộng tác, hợp tác",prone,dễ bị,sober,tỉnh táo (không say),The performance arts: reviews and critiques
gripping,/ˈɡrɪpɪŋ/,adjective,hấp dẫn/ lôi cuốn (mạnh),exciting or interesting in a way that keeps your attention completely,The documentary was so gripping that I watched it twice.,Bộ phim tài liệu hấp dẫn đến nỗi tôi đã xem nó hai lần.,The CEO gave a gripping account of the company's early struggles.,Giám đốc điều hành đã kể lại một cách hấp dẫn về những khó khăn ban đầu của công ty.,B2,,,,,The documentary was so _____________ that I watched it twice.,The CEO gave a _____________ account of the company's early struggles.,rewarding,"bổ ích, đáng làm, thỏa mãn",conceited,"tự phụ, kiêu căng",mundane,"bình thường, nhạt nhẽo, tầm thường (hàng ngày)",female,"nữ giới, con cái",predictable,"có thể đoán trước, tẻ nhạt",The performance arts: reviews and critiques
tedious,/ˈtiːdiəs/,adjective,"tẻ nhạt, buồn chán.",lasting or taking too long and not interesting; boring.,The journey home was long and tedious.,Hành trình về nhà thật dài và tẻ nhạt.,"Data entry can be a tedious job, but it is essential for the research.","Nhập dữ liệu có thể là một công việc tẻ nhạt, nhưng nó rất cần thiết cho nghiên cứu.",B2,,,,,The journey home was long and _____________.,"Data entry can be a _____________ job, but it is essential for the research.",couch potato,"người nghiện xem tivi, người lười biếng xem tivi",gullible,"cả tin, dễ bị lừa",rewarding,"bổ ích, đáng làm, thỏa mãn",ruler,thước kẻ,result in,"dẫn đến, gây ra",The performance arts: reviews and critiques
dazzlingly,ˈdæzlɪŋli,adverb,một cách sáng chói,very impressively,The actress smiled dazzlingly at the camera.,Nữ diễn viên cười rực rỡ với máy quay.,The lights shone dazzlingly.,Những ngọn đèn chiếu sáng chói lòa.,C1,,,,,The actress smiled _____________ at the camera.,The lights shone _____________.,applause,tràng pháo tay,tower block,tòa tháp chung cư,off-the-rack,may sẵn,fertilize,thụ tinh,fickle,hay thay đổi,The visual arts
depicted,dɪˈpɪktɪd,adjective,được miêu tả,shown in a picture,The painting depicted a beautiful landscape.,Bức tranh miêu tả một phong cảnh đẹp.,The scene is depicted in vivid detail.,Cảnh được vẽ với chi tiết sống động.,B2,,,,,The painting _____________ a beautiful landscape.,The scene is _____________ in vivid detail.,disjointed,rời rạc,unfurnished,không có nội thất,on a shoestring,với ngân sách eo hẹp,fetus,bào thai,forlorn,tuyệt vọng,The visual arts
dreary,ˈdrɪəri,adjective,ảm đạm,dull and depressing,The weather is so dreary today.,Thời tiết hôm nay thật ảm đạm.,It was a dreary day.,Đó là một ngày buồn tẻ.,B2,,,,,The weather is so _____________ today.,It was a _____________ day.,encore,màn biểu diễn lại,be an item,là một cặp,smart casual,lịch sự nhưng thoải mái,midwife,bà đỡ,obnoxious,khó chịu,The visual arts
earnest,ˈɜːnɪst,adjective,nghiêm túc,serious and sincere,She is a very earnest person who always tells the truth.,"Cô ấy là một người rất nghiêm túc, luôn nói sự thật.",He made an earnest apology.,Anh ấy đã đưa ra một lời xin lỗi chân thành.,B2,,,,,She is a very _____________ person who always tells the truth.,He made an _____________ apology.,far-fetched,gượng gạo / khó tin,black-tie,trang phục dạ hội trang trọng,trend-setter,người tạo xu hướng,placenta,nhau thai,offhand,cẩu thả,The visual arts
evocative,ɪˈvɒkətɪv,adjective,gợi cảm,bringing strong memories,The music was very evocative of childhood memories.,Âm nhạc gợi lại những kỷ niệm thời thơ ấu.,The language was evocative and poetic.,Ngôn ngữ gợi cảm và thơ mộng.,C1,,,,,The music was very _____________ of childhood memories.,The language was _____________ and poetic.,hackneyed,nhàm chán,clique,bè lũ,up-to-the-minute,cập nhật mới nhất,pregnancy,thai kỳ,officious,lăng xăng,The visual arts
peerless,ˈpɪələs,adjective,vô song,better than all others,She is a singer of peerless talent.,Cô ấy là một ca sĩ có tài năng vô song.,His skill is peerless.,Kỹ năng của anh ấy là không ai sánh bằng.,C1,,,,,She is a singer of _____________ talent.,His skill is _____________.,harrowing,đau lòng,fancy dress,trang phục hóa trang,attire,trang phục,ripe old age,tuổi cao,ostentatious,phô trương,The visual arts
shadowy,ˈʃædəʊi,adjective,mờ ảo,mysterious,I saw a shadowy figure in the dark.,Tôi thấy một bóng người mờ ảo trong bóng tối.,The shadowy room was hard to see in.,Căn phòng u tối thật khó để nhìn thấy.,C1,,,,,I saw a _____________ figure in the dark.,The _____________ room was hard to see in.,moving,cảm động,hobnob,giao du,cleavage,khe ngực,test-tube baby,trẻ thụ tinh trong ống nghiệm,pompous,vênh váo,The visual arts
tongue-in-cheek,ˌtʌŋ ɪn ˈtʃiːk,adjective,mỉa mai,not meant seriously,She made a tongue-in-cheek comment about the situation.,Cô ấy đã đưa ra một bình luận mỉa mai về tình huống.,His remarks were tongue-in-cheek.,Những nhận xét của anh ấy mang tính đùa.,C1,,,,,She made a _____________ comment about the situation.,His remarks were _____________.,overrated,được đánh giá quá cao,house-warming,tiệc tân gia,cufflink,khuy măng sét,uterus,tử cung,pretentious,kiêu căng,The visual arts
uninspiring,ˌʌnɪnˈspaɪərɪŋ,adjective,không gây cảm hứng,not interesting,I found the lecture uninspiring and boring.,Tôi thấy bài giảng không gây cảm hứng và nhàm chán.,The food was uninspiring.,Đồ ăn không gây hứng thú.,C1,,,,,I found the lecture _____________ and boring.,The food was _____________.,pan,phê bình gay gắt,knock around,đi cùng nhau,dress code,quy định về trang phục,be into somebody,thích,puerile,trẻ con,The visual arts
unstimulating,ʌnˈstɪmjuleɪtɪŋ,adjective,không kích thích,not exciting,The work is unstimulating.,Công việc không kích thích.,I find this job rather unstimulating.,Tôi thấy công việc này khá nhàm chán.,C1,,,,,The work is _____________.,I find this job rather _____________.,risque,táo bạo,party animal,người thích tiệc tùng,frumpy,lôi thôi,calming,êm đềm,sloppy,cẩu thả,The visual arts
image,ˈɪmɪdʒ,noun,Hình ảnh,"A picture of somebody or something seen in a mirror, through a camera, or on a television or computer.",The book has lots of colour images.,Cuốn sách có rất nhiều hình ảnh màu.,The book has vivid images of life in the countryside.,Cuốn sách có những hình ảnh sống động về cuộc sống ở nông thôn.,A2,,,,,The book has lots of colour _____________.,The book has vivid _____________ of life in the countryside.,get away,"trốn thoát, thoát khỏi",debt,Khoản nợ.,clinic,"Phòng khám, cơ sở y tế",bug,Lỗi (phần mềm/máy tính),alarm,"còi báo động, sự báo động",The visual arts
pedestrian,/pəˈdestriən/,noun,người đi bộ,a person who is walking in the street,Pedestrians should use the designated crossing.,Người đi bộ nên sử dụng phần đường được chỉ định.,The area was closed to pedestrian traffic for the festival.,Khu vực đã đóng cửa với giao thông người đi bộ cho lễ hội.,A2,,,,,_____________ should use the designated crossing.,The area was closed to _____________ traffic for the festival.,boundary,ranh giới,political,Thuộc về chính trị,reflect,"phản chiếu, phản xạ, dội lại",reptile,loài bò sát,wake,"Thức dậy, đánh thức.",The visual arts
light,/laɪt/,verb,"thắp sáng, chiếu sáng",to start to burn; to provide light,Natural light fills the living room in the morning.,Ánh sáng tự nhiên tràn ngập phòng khách vào buổi sáng.,Please turn on the light; it's getting dark in here.,Làm ơn bật đèn lên; ở đây đang tối dần.,B1,,,,,Natural _____________ fills the living room in the morning.,Please turn on the _____________; it's getting dark in here.,nutrition,dinh dưỡng,genius,Thiên tài.,damp,Ẩm ướt (thường khó chịu),medicine,"y học, thuốc",ban,"Cấm, cấm đoán",The visual arts
colorful,/ˈkʌlərfl/,adjective,"nhiều màu sắc, sặc sỡ",full of bright colours or having a variety of colours,The presentation included many colorful charts and graphs.,Bài thuyết trình bao gồm nhiều biểu đồ và đồ thị nhiều màu sắc.,The market was full of colorful stalls.,Chợ đầy những gian hàng sặc sỡ.,A2,,,,,The presentation included many _____________ charts and graphs.,The market was full of _____________ stalls.,camping,việc cắm trại,airline,hãng hàng không,count,"đếm, tính toán",firefighter,Lính cứu hỏa,economy class,hạng phổ thông,The visual arts
thought-provoking,/ˈθɔːt prəˌvəʊ.kɪŋ/,adj,kích thích tư duy,stimulating careful thinking,The documentary was thought-provoking.,Bộ phim tài liệu đó kích thích tư duy.,The documentary raised several thought-provoking questions about our future.,Bộ phim tài liệu đã nêu ra một vài câu hỏi kích thích tư duy về tương lai của chúng ta.,B2,,,,,The documentary was _____________.,The documentary raised several _____________ questions about our future.,discerning,"tinh tế, sáng suốt",formidable,đáng gờm,stopover,điểm dừng,pagan,ngoại giáo,leaflet,"Tờ rơi, tờ gấp",The visual arts
exquisite,/ɪkˈskwɪz.ɪt/,Adjective,"tinh tế, tuyệt mỹ",extremely beautiful and carefully made,Her wedding dress was absolutely exquisite.,Chiếc váy cưới của cô ấy thực sự rất tinh tế.,The restaurant serves dishes of exquisite flavor.,Nhà hàng phục vụ các món ăn có hương vị tinh tế.,B2,,,,,Her wedding dress was absolutely _____________.,The restaurant serves dishes of _____________ flavor.,amateur,"nghiệp dư, không chuyên",faithful,"trung thành, trung thực",stimulating,"kích thích, thú vị, khơi gợi",computer,Máy tính,make up,bịa chuyện,The visual arts
intriguing,/ɪnˈtriːɡɪŋ/,adjective,hấp dẫn/ lôi cuốn (vì bí ẩn/ mới lạ),very interesting because of being unusual or mysterious,The proposal contained some intriguing ideas for cost savings.,Đề xuất chứa một vài ý tưởng hấp dẫn để tiết kiệm chi phí.,She has an intriguing background in both finance and design.,Cô ấy có một nền tảng lý lịch hấp dẫn về cả tài chính và thiết kế.,C1,,,,,The proposal contained some _____________ ideas for cost savings.,She has an _____________ background in both finance and design.,shopaholic,"tín đồ mua sắm, người nghiện mua sắm",fond,"yêu mến, có tình cảm, thích",workload,khối lượng công việc,conquest,"sự chinh phục, sự xâm chiếm",break down,"hỏng, ngừng hoạt động",The visual arts
priceless,/ˈpraɪsləs/,Adjective,"vô giá, quý giá không thể định giá được",extremely valuable or important,The companys reputation is a priceless asset.,Danh tiếng của công ty là một tài sản vô giá.,That antique vase is priceless.,Chiếc bình cổ đó là vô giá.,B2,,,,,The companys reputation is a _____________ asset.,That antique vase is _____________.,chic,"sang trọng, thời thượng, lịch lãm",mutual,"lẫn nhau, chung",repetitive,"lặp đi lặp lại, nhàm chán",rebellion,"cuộc nổi dậy, cuộc nổi loạn",laptop,Máy tính xách tay,The visual arts
worthless,/ˈwɜːθləs/,Adjective,"vô giá trị, không đáng giá",having no practical or financial value,The guarantee becomes worthless if you dont register the product.,Giấy bảo hành trở nên vô giá trị nếu bạn không đăng ký sản phẩm.,The counterfeit currency was completely worthless.,Số tiền giả đó hoàn toàn vô giá trị.,B2,,,,,The guarantee becomes _____________ if you dont register the product.,The counterfeit currency was completely _____________.,set a trend,tạo ra một xu hướng,affectionate,"trìu mến, yêu thương",monotonous,"đơn điệu, buồn tẻ",rally,"cuộc mít-tinh, cuộc tập hợp",long,dài (về thời gian),The visual arts
poorly,/ˈpɔːli/,adverb,"một cách nghèo nàn, tồi tệ",in a way that shows a lack of money; not well,The survey showed that many junior staff felt they were poorly paid for their work.,Cuộc khảo sát cho thấy nhiều nhân viên cấp thấp cảm thấy họ được trả lương thấp cho công việc của mình.,The company's stock has performed poorly this quarter due to declining sales in key markets.,Cổ phiếu của công ty đã hoạt động kém hiệu quả trong quý này do doanh số bán hàng sụt giảm ở các thị trường trọng điểm.,B1,,,,,The survey showed that many junior staff felt they were poorly paid for their work.,The company's stock has performed poorly this quarter due to declining sales in key markets.,catch on,"hiểu ra, nắm bắt được",considerate,"ân cần, chu đáo",long-term,dài hạn,heart,tim,conclude,kết thúc,The visual arts
