Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
lock yourself out,ˌlɒk jɔːˈself ˈaʊt,verb phrase,tự khóa mình ở ngoài (quên chìa khóa trong nhà/xe),to be outside a building when you have locked the door,I locked myself out of the house.,Tôi đã tự khóa mình ở ngoài nhà.,Don't lock yourself out by forgetting your keys.,Đừng tự khóa mình ở ngoài bằng cách quên chìa khóa.,B2,,,,,I _____________ of the house.,Don't _____________ by forgetting your keys.,bungalow,"nhà gỗ một tầng, biệt thự nhỏ một tầng",detached house,"nhà riêng biệt, không nối với bất kỳ nhà nào khác",drive,lái xe,acquaintance,người quen,odd-ball,người kỳ quặc,Everyday minor problems
graze,ɡreɪz,verb,"trầy xước nhẹ, rách da nhưng không chảy nhiều máu",to break the surface of your skin by rubbing against something,He has a small graze on his knee.,Anh ấy có một vết trầy xước nhỏ trên đầu gối.,She grazed her elbow on the wall.,Cô ấy trầy xước khuỷu tay trên tường.,B2,,,,,He has a small _____________ on his knee.,She _____________ her elbow on the wall.,shed,"loại bỏ, thải loại; rụng (lá), lột (da)",landing,"Hạ cánh, đổ bộ",corkscrew,cái mở nút chai (rượu),toilet roll,cuộn giấy vệ sinh,nasty piece of work,kẻ xấu tính / khó ưa,Everyday minor problems
get crushed,ˌɡet ˈkrʌʃt,verb phrase,bị nghiền / bị ép nát,to be pressed or squeezed very hard,The box will get crushed if you sit on it.,Cái hộp sẽ bị nghiền nát nếu bạn ngồi lên nó.,The cans were crushed in the garbage truck.,Những lon đã bị ép nát trong xe chở rác.,B2,,,,,The box will _____________ if you sit on it.,The cans were _____________ in the garbage truck.,power cut,mất điện,attic,"Gác mái, tầng áp mái",villa,"biệt thự lớn, thường có vườn rộng hoặc dùng làm nhà nghỉ dưỡng",terrace,sân lát gạch ngoài nhà để ngồi ăn uống,know-all,kẻ biết tuốt (tự cao),Everyday minor problems
dent,dent,noun,"làm móp nhẹ (kim loại, xe…)",a hollow area in a hard surface,There's a small dent in the car door.,Có một vết móp nhỏ trên cửa xe.,The shopping cart dented my car.,Giỏ hàng đã làm móp xe của tôi.,B2,,,,,There's a small _____________ in the car door.,The shopping cart _____________ my car.,fall off,rơi khỏi vị trí,cellar,"Hầm chứa (đặc biệt là rượu), tầng hầm",utility room,"phòng tiện ích để máy giặt, tủ đông, đồ dùng",phone charger,bộ sạc điện thoại,heart of gold,tấm lòng vàng (tốt bụng),Everyday minor problems
bump,bʌmp,verb,va mạnh vào vật gì đó,to knock into something accidentally,I have a bump on my head from the accident.,Tôi có một vết sưng trên đầu do tai nạn.,The car bumped into the tree.,Chiếc xe đã va mạnh vào cây.,B2,,,,,I have a _____________ on my head from the accident.,The car _____________ into the tree.,cracked,bị nứt (chưa vỡ hẳn),basement,Tầng hầm,terraced house,"nhà liền kề, nối với nhiều nhà khác thành một dãy",peeler,dao gọt vỏ (rau củ),head like a sieve,đãng trí / hay quên,Everyday minor problems
bruise,bruːz,noun,vết bầm tím trên da,"a blue, brown or purple mark on the skin",She has a large bruise on her arm.,Cô ấy có một vết bầm tím lớn trên cánh tay.,He bruised his knee when he fell.,Anh ấy đã bị bầm tím đầu gối khi ngã.,B2,,,,,She has a large _____________ on her arm.,He _____________ his knee when he fell.,chipped,bị mẻ một góc nhỏ,cottage,"Nhà tranh, nhà nhỏ ở nông thôn",table mat,miếng lót bàn ăn,ironing board,bàn để là/quần áo,head for heights,không sợ độ cao,Everyday minor problems
blocked,blɒkt,adjective,"bị tắc (ống nước, bồn rửa…)",not able to be used because something is blocking it,The sink is blocked again.,Bồn rửa lại bị tắc.,The road is blocked by a fallen tree.,Con đường bị tắc bởi một cái cây đổ.,B2,,,,,The sink is _____________ again.,The road is _____________ by a fallen tree.,slow,"Chậm lại, giảm tốc độ",studio,căn hộ studio (một phòng chính),studio flat,"căn hộ nhỏ, gộp không gian ngủ và sinh hoạt",hanger,cái móc treo quần áo,hard as nails,cứng rắn / vô cảm,Everyday minor problems
trip,/trɪp/,verb,Vấp ngã,To catch your foot on something and fall.,We took a trip to the mountains.,Chúng tôi đã có một chuyến đi đến vùng núi.,The drug can induce a powerful trip.,Loại thuốc đó có thể gây ra một cơn phê thuốc mạnh.,B1,,,,,We took a _____________ to the mountains.,The drug can induce a powerful _____________.,come off,"bong ra, tróc ra",hall,"hành lang, sảnh",socket,ổ cắm điện,chopping board,thớt,bury your head in the sand,trốn tránh thực tế,Everyday minor problems
crash,/kræʃ/,noun,"Vụ va chạm, tai nạn xe",A serious accident where vehicles are damaged,He was killed in a car crash.,Anh ấy đã chết trong một vụ tai nạn ô tô.,He was involved in a serious car crash last night.,Anh ấy đã liên quan đến một vụ tai nạn xe hơi nghiêm trọng đêm qua.,B1,,,,,He was killed in a car _____________.,He was involved in a serious car _____________ last night.,smash,"đập vỡ, phá vỡ (kỷ lục)",bungalow,"nhà gỗ một tầng, biệt thự nhỏ một tầng",semi-detached house,"nhà bán liền kề, chỉ nối với một nhà khác",master,"Người làm chủ, chủ nhân",big-head,kẻ tự cao tự đại,Everyday minor problems
dead,/ded/,adjective,"Đã chết, không còn hoạt động",no longer alive,The project was declared dead due to lack of funding.,Dự án đã bị tuyên bố là chết do thiếu kinh phí.,The phone line went dead during the storm.,Đường dây điện thoại bị chết trong cơn bão.,A2,,,,,The project was declared _____________ due to lack of funding.,The phone line went _____________ during the storm.,wont start,(xe/máy) không khởi động được,shed,"loại bỏ, thải loại; rụng (lá), lột (da)",self-contained flat,"căn hộ khép kín, có đầy đủ tiện nghi riêng",porch,"cổng vòm, mái hiên (che trước cửa)",teacher's pet,học trò cưng,Everyday minor problems
spill,/spɪl/,verb,"làm tràn, đổ",to accidentally flow over the edge of a container,Be careful not to spill your coffee.,Hãy cẩn thận đừng để đổ cà phê.,Be careful not to spill the coffee on the new carpet.,Cẩn thận đừng làm đổ cà phê ra tấm thảm mới.,B1,,,,,Be careful not to _____________ your coffee.,Be careful not to _____________ the coffee on the new carpet.,twist your ankle,bị trẹo mắt cá chân,power cut,mất điện,grater,"dụng cụ bào (phô mai, cà rốt…)",remote,"từ xa, xa xôi, hẻo lánh",unfriend,"hủy kết bạn, chấm dứt mối quan hệ trên mạng xã hội",Everyday minor problems
break down,/breɪk daʊn/,phrasal verb,"hỏng, ngừng hoạt động",to stop working because of a fault,The car broke down just north of Paris.,Chiếc xe bị hỏng ngay phía bắc Paris.,"My old, unreliable car has a frustrating tendency to break down at the most inconvenient and stressful times, usually when I'm already running late for an important meeting.","Chiếc xe cũ kỹ, không đáng tin cậy của tôi có một xu hướng gây bực bội là hỏng, ngừng hoạt động vào những lúc bất tiện và căng thẳng nhất, thường là khi tôi đã muộn giờ cho một cuộc họp quan trọng.",B1,,,,,The car _____________ just north of Paris.,"My old, unreliable car has a frustrating tendency to _____________ at the most inconvenient and stressful times, usually when I'm already running late for an important meeting.",stop working,ngừng hoạt động,fall off,rơi khỏi vị trí,dustpan and brush,hót rác và chổi,drive,lái xe,tag someone,gắn tên ai đó vào ảnh hoặc bài đăng,Everyday minor problems
flat,/flæt/,adjective,"phẳng, bằng","smooth and level, without raised or hollow areas",The new monitors have a flat screen.,Màn hình mới có mặt phẳng.,Our sales were flat this quarter compared to last.,Doanh số của chúng ta bằng quý trước.,A2,,,,,The new monitors have a _____________ screen.,Our sales were _____________ this quarter compared to last.,stain,"vết ố, vết bẩn khó tẩy",cracked,bị nứt (chưa vỡ hẳn),detached house,"nhà riêng biệt, không nối với bất kỳ nhà nào khác",corkscrew,cái mở nút chai (rượu),social network,"mạng xã hội, nền tảng trực tuyến để kết nối và tương tác với người khác",Everyday minor problems
fall down,/ˌfɔːl ˈdaʊn/,phrasal verb,ngã xuống,to fall to the ground,The old bridge fell down during the storm.,Cây cầu cũ đổ sập trong cơn bão.,Be careful not to fall down the stairs.,Hãy cẩn thận kẻo ngã xuống cầu thang.,A1,,,,,The old bridge _____________ during the storm.,Be careful not to _____________ the stairs.,stain,"vết ố, vết bẩn khó tẩy",chipped,bị mẻ một góc nhỏ,landing,"Hạ cánh, đổ bộ",villa,"biệt thự lớn, thường có vườn rộng hoặc dùng làm nhà nghỉ dưỡng",share photos,chia sẻ hình ảnh,Everyday minor problems
run out,/ˌrʌn ˈaʊt/,phrasal verb,hết/cạn kiệt,to expire/be exhausted,We're running out of supplies.,Chúng tôi sắp hết đồ tiếp tế.,We need to stop at the store because we've completely run out of milk and bread for breakfast.,Chúng ta cần dừng lại ở cửa hàng vì chúng ta đã hoàn toàn hết sữa và bánh mì cho bữa sáng.,A2,,,,,We're _____________ of supplies.,We need to stop at the store because we've completely _____________ milk and bread for breakfast.,lock yourself out,tự khóa mình ở ngoài (quên chìa khóa trong nhà/xe),slow,"Chậm lại, giảm tốc độ",attic,"Gác mái, tầng áp mái",utility room,"phòng tiện ích để máy giặt, tủ đông, đồ dùng",post comments,đăng bình luận,Everyday minor problems
victims,ˈvɪktɪmz,noun,"nạn nhân; người chịu hậu quả của tai nạn, chiến tranh, tội phạm…",people who have been harmed,The victims of the accident were taken to hospital.,Các nạn nhân của vụ tai nạn đã được đưa đến bệnh viện.,We offer support to the victims of crime.,Chúng tôi cung cấp hỗ trợ cho các nạn nhân của tội phạm.,B2,,,,,The _____________ of the accident were taken to hospital.,We offer support to the _____________ of crime.,graze,"trầy xước nhẹ, rách da nhưng không chảy nhiều máu",come off,"bong ra, tróc ra",cellar,"Hầm chứa (đặc biệt là rượu), tầng hầm",terraced house,"nhà liền kề, nối với nhiều nhà khác thành một dãy",loathe,"cực kỳ ghét (mạnh, cảm xúc tiêu cực rõ)",Global problems
the wounded,ðə ˈwuːndɪd,noun phrase,những người bị thương (thường trong chiến tranh/tai nạn lớn),people who have been injured,The hospital is treating the wounded.,Bệnh viện đang điều trị cho những người bị thương.,The soldiers carried the wounded from the battlefield.,Những người lính đã mang những người bị thương ra khỏi chiến trường.,B2,,,,,The hospital is treating _____________.,The soldiers carried _____________ from the battlefield.,get crushed,bị nghiền / bị ép nát,smash,"đập vỡ, phá vỡ (kỷ lục)",basement,Tầng hầm,table mat,miếng lót bàn ăn,invite someone,gửi lời mời kết bạn,Global problems
the dead,ðə ˈded,noun phrase,những người đã chết (trong sự kiện cụ thể),people who have died,A memorial was built to honour the dead.,Một đài tưởng niệm đã được xây dựng để vinh danh những người đã chết.,We will never forget the dead from the war.,Chúng tôi sẽ không bao giờ quên những người đã chết trong chiến tranh.,B2,,,,,A memorial was built to honour _____________.,We will never forget _____________ from the war.,dent,"làm móp nhẹ (kim loại, xe…)",wont start,(xe/máy) không khởi động được,cottage,"Nhà tranh, nhà nhỏ ở nông thôn",studio flat,"căn hộ nhỏ, gộp không gian ngủ và sinh hoạt",interact with,tương tác với người khác trên mạng,Global problems
survivors,səˈvaɪvəz,noun,người sống sót sau thảm họa,people who continue to live after an accident,There were no survivors from the plane crash.,Không có người sống sót nào từ vụ rơi máy bay.,The survivors of the earthquake are living in temporary shelters.,Những người sống sót sau trận động đất đang sống trong những nơi trú tạm.,B2,,,,,There were no _____________ from the plane crash.,The _____________ of the earthquake are living in temporary shelters.,bump,va mạnh vào vật gì đó,twist your ankle,bị trẹo mắt cá chân,studio,căn hộ studio (một phòng chính),socket,ổ cắm điện,fancy,"thích, có cảm tình (văn nói, nhất là Anh–Anh)",Global problems
refugees,ˌrefjuˈdʒiːz,noun,người tị nạn; rời khỏi đất nước vì chiến tranh hoặc thảm họa,people who have escaped from war or danger,Many refugees crossed the border to escape the war.,Nhiều người tị nạn đã vượt biên để trốn chiến tranh.,The country welcomed the refugees with open arms.,Đất nước đã chào đón những người tị nạn với vòng tay rộng mở.,B2,,,,,Many _____________ crossed the border to escape the war.,The country welcomed the _____________ with open arms.,bruise,vết bầm tím trên da,stop working,ngừng hoạt động,hall,"hành lang, sảnh",semi-detached house,"nhà bán liền kề, chỉ nối với một nhà khác",exchange messages,"nhắn tin qua lại, trao đổi tin nhắn",Global problems
rabies,ˈreɪbiːz,noun,bệnh dại; lây qua vết cắn của động vật (rất nguy hiểm),a serious disease that can be passed from animals to humans,Dogs and bats can carry rabies.,Chó và dơi có thể mang vi rút bệnh dại.,Vaccination is important to prevent rabies.,Tiêm phòng rất quan trọng để ngăn ngừa bệnh dại.,C1,,,,,Dogs and bats can carry _____________.,Vaccination is important to prevent _____________.,blocked,"bị tắc (ống nước, bồn rửa…)",stain,"vết ố, vết bẩn khó tẩy",bungalow,"nhà gỗ một tầng, biệt thự nhỏ một tầng",self-contained flat,"căn hộ khép kín, có đầy đủ tiện nghi riêng",build up contacts,"xây dựng, mở rộng danh sách mối quan hệ",Global problems
migrants,ˈmaɪɡrənts,noun,"người di cư sang quốc gia khác, thường để tìm việc hoặc cuộc sống tốt hơn",people who move from one place to another,The city is home to many migrants from rural areas.,Thành phố là nơi sinh sống của nhiều người di cư từ các vùng nông thôn.,The government has a policy for migrants.,Chính phủ có chính sách cho người di cư.,B2,,,,,The city is home to many _____________ from rural areas.,The government has a policy for _____________.,trip,Vấp ngã,stain,"vết ố, vết bẩn khó tẩy",shed,"loại bỏ, thải loại; rụng (lá), lột (da)",grater,"dụng cụ bào (phô mai, cà rốt…)",best friends,"bạn thân nhất, mối quan hệ rất gần gũi và lâu dài",Global problems
malaria,məˈleəriə,noun,bệnh sốt rét; thường lây qua muỗi,a serious disease spread by mosquitoes,Malaria is a serious disease transmitted by mosquitoes.,Bệnh sốt rét là một căn bệnh nguy hiểm do muỗi truyền.,We took medicine to prevent malaria.,Chúng tôi đã uống thuốc để phòng bệnh sốt rét.,C1,,,,,_____________ is a serious disease transmitted by mosquitoes.,We took medicine to prevent _____________.,crash,"Vụ va chạm, tai nạn xe",lock yourself out,tự khóa mình ở ngoài (quên chìa khóa trong nhà/xe),power cut,mất điện,dustpan and brush,hót rác và chổi,acquire friends,"kết thêm bạn mới, tạo thêm mối quan hệ trên mạng",Global problems
diarrhoea,ˌdaɪəˈrɪə,noun,tiêu chảy,an illness in which waste matter is watery,The child is suffering from diarrhoea.,Đứa trẻ đang bị tiêu chảy.,It's important to drink plenty of water if you have diarrhoea.,Điều quan trọng là uống nhiều nước nếu bạn bị tiêu chảy.,C1,,,,,The child is suffering from _____________.,It's important to drink plenty of water if you have _____________.,dead,"Đã chết, không còn hoạt động",graze,"trầy xước nhẹ, rách da nhưng không chảy nhiều máu",fall off,rơi khỏi vị trí,detached house,"nhà riêng biệt, không nối với bất kỳ nhà nào khác",accept new friends,chấp nhận lời mời kết bạn,Global problems
cholera,ˈkɒlərə,noun,bệnh tả; gây tiêu chảy nghiêm trọng,a serious disease causing diarrhoea and vomiting,An outbreak of cholera was reported in the village.,Một đợt bùng phát bệnh tả đã được báo cáo trong làng.,Poor sanitation can cause cholera.,Vệ sinh kém có thể gây ra bệnh tả.,C1,,,,,An outbreak of _____________ was reported in the village.,Poor sanitation can cause _____________.,spill,"làm tràn, đổ",get crushed,bị nghiền / bị ép nát,cracked,bị nứt (chưa vỡ hẳn),landing,"Hạ cánh, đổ bộ",steady,"đều đặn, ổn định, vững chắc",Global problems
typhoon,/taɪˈfuːn/,Noun,bão nhiệt đới (Thái Bình Dương),a tropical storm with very strong winds that happens in the western Pacific Ocean,The port was closed as the typhoon approached.,Cảng đã đóng cửa khi cơn bão nhiệt đới đến gần.,The company donated supplies to communities affected by the typhoon.,Công ty đã quyên góp nhu yếu phẩm cho các cộng đồng bị ảnh hưởng bởi cơn bão.,B1,,,,,The port was closed as the _____________ approached.,The company donated supplies to communities affected by the _____________.,break down,"hỏng, ngừng hoạt động",dent,"làm móp nhẹ (kim loại, xe…)",chipped,bị mẻ một góc nhỏ,attic,"Gác mái, tầng áp mái",admire,ngưỡng mộ,Global problems
war,/wɔː(r)/,noun,chiến tranh,a situation in which two or more countries or groups of people fight against each other over a period of time,The country was devastated by war.,Đất nước bị tàn phá bởi chiến tranh.,The government decided to declare war.,Chính phủ quyết định tuyên chiến.,B1,,,,,The country was devastated by _____________.,The government decided to declare _____________.,flat,"phẳng, bằng",bump,va mạnh vào vật gì đó,slow,"Chậm lại, giảm tốc độ",cellar,"Hầm chứa (đặc biệt là rượu), tầng hầm",partner,"đối tác, cộng sự",Global problems
hurricane,/ˈhɜːrəkeɪn/,noun,Bão (nhiệt đới lớn),"A storm with a violent wind, in particular a tropical cyclone.",The hurricane warning has been issued.,Cảnh báo bão (nhiệt đới lớn) đã được đưa ra.,The hurricane caused widespread flooding along the coast.,Cơn bão đã gây ra lũ lụt trên diện rộng dọc bờ biển.,B2,,,,,The _____________ warning has been issued.,The _____________ caused widespread flooding along the coast.,fall down,ngã xuống,bruise,vết bầm tím trên da,come off,"bong ra, tróc ra",basement,Tầng hầm,parents-in-law,"Bố mẹ chồng, bố mẹ vợ",Global problems
typhoid,/ˈtaɪfɔɪd/,Noun,Bệnh thương hàn,"A serious infectious disease that causes fever, red spots on the chest and severe pain in the bowels, and sometimes causes death",She nearly died of typhoid.,Cô ấy suýt chết vì bệnh thương hàn.,Typhoid fever is a bacterial infection spread through contaminated food and water.,Bệnh thương hàn là một bệnh nhiễm trùng do vi khuẩn lây lan qua thức ăn và nước uống bị ô nhiễm.,C1,,,,,She nearly died of _____________.,_____________ fever is a bacterial infection spread through contaminated food and water.,run out,hết/cạn kiệt,blocked,"bị tắc (ống nước, bồn rửa…)",smash,"đập vỡ, phá vỡ (kỷ lục)",cottage,"Nhà tranh, nhà nhỏ ở nông thôn",look down on,"coi thường, khinh thường",Global problems
AIDS,/eɪdz/,noun,bệnh AIDS (một hội chứng suy giảm miễn dịch do virus HIV gây ra),a serious medical condition caused by the HIV virus,Scientists continue to search for a definitive cure for AIDS.,Các nhà khoa học tiếp tục tìm kiếm một phương pháp chữa trị dứt điểm cho bệnh AIDS.,Medical advances have significantly improved the life expectancy of people living with AIDS.,Những tiến bộ y học đã cải thiện đáng kể tuổi thọ của những người sống chung với bệnh AIDS.,B2,,,,,Scientists continue to search for a definitive cure for _____________.,Medical advances have significantly improved the life expectancy of people living with _____________.,victims,"nạn nhân; người chịu hậu quả của tai nạn, chiến tranh, tội phạm…",trip,Vấp ngã,wont start,(xe/máy) không khởi động được,studio,căn hộ studio (một phòng chính),colleague,đồng nghiệp,Global problems
sweep through,ˈswiːp θruː,phrasal verb,"quét qua (bão, hỏa hoạn…)",to spread quickly through a place,A wave of panic swept through the crowd.,Làn sóng hoảng loạn quét qua đám đông.,The disease swept through the community quickly.,Căn bệnh quét qua cộng đồng nhanh chóng.,C1,,,,,A wave of panic _____________ the crowd.,The disease _____________ the community quickly.,the wounded,những người bị thương (thường trong chiến tranh/tai nạn lớn),crash,"Vụ va chạm, tai nạn xe",twist your ankle,bị trẹo mắt cá chân,hall,"hành lang, sảnh",idolise,"thần tượng, ngưỡng mộ quá mức",Global problems
shake,ʃeɪk,verb,rung chuyển,to move quickly from side to side,The building began to shake during the earthquake.,Tòa nhà bắt đầu rung chuyển trong trận động đất.,She shook her head in disbelief.,Cô ấy lắc đầu trong sự không tin.,A2,,,,,The building began to _____________ during the earthquake.,She _____________ her head in disbelief.,the dead,những người đã chết (trong sự kiện cụ thể),dead,"Đã chết, không còn hoạt động",stop working,ngừng hoạt động,bungalow,"nhà gỗ một tầng, biệt thự nhỏ một tầng",dont see eye to eye,"không đồng quan điểm, thường xuyên bất đồng",Global problems
erupt,ɪˈrʌpt,verb,(núi lửa) phun trào,to burst out suddenly,"The volcano erupted violently, spewing ash and lava.","Núi lửa đã phun trào dữ dội, bắn ra tro bụi và dung nham.",Violence erupted between the two groups.,Bạo lực đã bùng phát giữa hai nhóm.,B2,,,,,"The volcano _____________ violently, spewing ash and lava.",Violence _____________ between the two groups.,survivors,người sống sót sau thảm họa,spill,"làm tràn, đổ",stain,"vết ố, vết bẩn khó tẩy",shed,"loại bỏ, thải loại; rụng (lá), lột (da)",be attracted to,"cảm thấy bị thu hút, có cảm tình (thường mang sắc thái tình cảm)",Global problems
casualties,ˈkæʒuəltiz,noun,số người chết và bị thương trong một thảm họa hoặc tai nạn,people who are killed or injured in war or an accident,There were many casualties in the war.,Có nhiều thương vong trong chiến tranh.,The fire caused no casualties.,Vụ hỏa hoạn không gây ra thương vong nào.,B2,,,,,There were many _____________ in the war.,The fire caused no _____________.,refugees,người tị nạn; rời khỏi đất nước vì chiến tranh hoặc thảm họa,break down,"hỏng, ngừng hoạt động",stain,"vết ố, vết bẩn khó tẩy",power cut,mất điện,adore,"yêu tha thiết, quý mến",Global problems
be feared dead,bi ˌfɪəd ˈded,phrase,được cho là đã chết,to be thought to have died,The missing hikers are feared dead.,Những người đi bộ đường dài mất tích được cho là đã chết.,The sailors are feared dead after the storm.,Các thủy thủ được lo ngại đã thiệt mạng sau cơn bão.,C1,,,,,The missing hikers are _____________.,The sailors are _____________ after the storm.,rabies,bệnh dại; lây qua vết cắn của động vật (rất nguy hiểm),flat,"phẳng, bằng",lock yourself out,tự khóa mình ở ngoài (quên chìa khóa trong nhà/xe),fall off,rơi khỏi vị trí,attract,"thu hút, hấp dẫn",Global problems
starve,/stɑːv/,verb,"Chết đói, bị đói",To suffer or die because you do not have enough food to eat.,"In the 19th century, many people starved during the famine.","Vào thế kỷ 19, nhiều người chết đói trong nạn đói.",Aid agencies work to ensure that no child starves.,Các cơ quan viện trợ làm việc để đảm bảo không có trẻ em nào bị chết đói.,B2,,,,,"In the 19th century, many people _____________ during the famine.",Aid agencies work to ensure that no child _____________.,migrants,"người di cư sang quốc gia khác, thường để tìm việc hoặc cuộc sống tốt hơn",fall down,ngã xuống,graze,"trầy xước nhẹ, rách da nhưng không chảy nhiều máu",cracked,bị nứt (chưa vỡ hẳn),look up to,"ngưỡng mộ, kính trọng",Global problems
landslide,/ˈlænd.slaɪd/,noun,sạt lở đất,a mass of rock and earth that falls down the side of a mountain or cliff,The landslide blocked the highway.,Vụ sạt lở chặn đường cao tốc.,The election result was a landslide victory for the party.,Kết quả bầu cử là một chiến thắng áp đảo cho đảng đó.,B2,,,,,The _____________ blocked the highway.,The election result was a _____________ victory for the party.,malaria,bệnh sốt rét; thường lây qua muỗi,run out,hết/cạn kiệt,get crushed,bị nghiền / bị ép nát,chipped,bị mẻ một góc nhỏ,respect,sự tôn trọng,Global problems
natural disaster,/ˌnætʃrəl dɪˈzɑːstə(r)/,noun,Thảm họa thiên nhiên,a sudden and terrible event in nature that causes great damage or loss of life,The government sent aid to areas affected by the natural disaster.,Chính phủ gửi viện trợ đến các khu vực bị ảnh hưởng bởi thảm họa thiên nhiên.,The government provided emergency funds to assist the communities affected by the devastating natural disaster.,Chính phủ đã cung cấp quỹ khẩn cấp để hỗ trợ các cộng đồng bị ảnh hưởng bởi thảm họa thiên nhiên tàn khốc này.,B2,,,,,The government sent aid to areas affected by the _____________.,The government provided emergency funds to assist the communities affected by the devastating _____________.,diarrhoea,tiêu chảy,victims,"nạn nhân; người chịu hậu quả của tai nạn, chiến tranh, tội phạm…",dent,"làm móp nhẹ (kim loại, xe…)",slow,"Chậm lại, giảm tốc độ",despise,"khinh thường, ghét cay đắng",Global problems
explosion,/ɪkˈspləʊʒn/,noun,"vụ nổ, sự phát nổ",the sudden violent bursting and loud noise of something such as a bomb exploding; the act of deliberately causing something to explode,The explosion could be heard miles away.,Vụ nổ có thể được nghe thấy từ cách đó hàng dặm.,The gas leak caused a huge explosion that destroyed the building.,Rò rỉ khí gas đã gây ra một vụ nổ lớn phá hủy tòa nhà.,B2,,,,,The _____________ could be heard miles away.,The gas leak caused a huge _____________ that destroyed the building.,cholera,bệnh tả; gây tiêu chảy nghiêm trọng,the wounded,những người bị thương (thường trong chiến tranh/tai nạn lớn),bump,va mạnh vào vật gì đó,come off,"bong ra, tróc ra",see each other,"đang hẹn hò, tìm hiểu nhau",Global problems
damage,/ˈdæmɪdʒ/,noun,"thiệt hại, hư hỏng","physical harm caused to something which makes it less attractive, useful or valuable",The storm damaged several houses.,Cơn bão đã làm hư hại nhiều ngôi nhà.,The accident resulted in damage to the vehicle.,Tai nạn dẫn đến hư hỏng cho phương tiện.,B1,,,,,The storm _____________ several houses.,The accident resulted in _____________ to the vehicle.,typhoon,bão nhiệt đới (Thái Bình Dương),the dead,những người đã chết (trong sự kiện cụ thể),bruise,vết bầm tím trên da,smash,"đập vỡ, phá vỡ (kỷ lục)",make it up,làm hòa,Global problems
volcano,/vɒlˈkeɪnəʊ/,noun,núi lửa,"a mountain with a large hole at the top through which lava, gases, etc. are forced out into the air",The volcano has been dormant for centuries.,Ngọn núi lửa đã không hoạt động trong nhiều thế kỷ.,The eruption of the volcano destroyed several villages.,Vụ phun trào của núi lửa đã phá hủy vài ngôi làng.,B1,,,,,_____________ has been dormant for centuries.,The eruption of _____________ destroyed several villages.,war,chiến tranh,survivors,người sống sót sau thảm họa,blocked,"bị tắc (ống nước, bồn rửa…)",wont start,(xe/máy) không khởi động được,loathe,căm ghét / ghê tởm,Global problems
spread,/spred/,verb,"lây lan, lan rộng",to affect more people or a larger area; to become more common,The virus spreads through the air.,Virus lây lan qua không khí.,The infection spread quickly through the school.,Nhiễm trùng lây lan nhanh chóng trong trường học.,B1,,,,,The virus _____________ through the air.,The infection _____________ quickly through the school.,hurricane,Bão (nhiệt đới lớn),refugees,người tị nạn; rời khỏi đất nước vì chiến tranh hoặc thảm họa,trip,Vấp ngã,twist your ankle,bị trẹo mắt cá chân,leave someone cold,"không gây cảm xúc, không tạo ấn tượng gì",Global problems
suffer,/ˈsʌfə(r)/,verb,"chịu đựng, trải qua (đau đớn, bệnh tật)","to experience something unpleasant, such as pain, illness, or injury",He suffered years of pain before the correct diagnosis was made.,Anh ấy đã chịu đựng nhiều năm đau đớn trước khi được chẩn đoán chính xác.,Many people suffered in the heatwave.,Nhiều người đã chịu đựng trong đợt nắng nóng.,B1,,,,,He _____________ years of pain before the correct diagnosis was made.,Many people _____________ in the heatwave.,typhoid,Bệnh thương hàn,rabies,bệnh dại; lây qua vết cắn của động vật (rất nguy hiểm),crash,"Vụ va chạm, tai nạn xe",stop working,ngừng hoạt động,idolise,thần tượng hóa / tôn sùng,Global problems
flood,/flʌd/,noun,"Lũ lụt, ngập lụt",A large amount of water covering an area that is usually dry.,The heavy rains caused severe floods.,"Mưa lớn đã gây ra lũ lụt, tràn ngập nghiêm trọng.",Many families were evacuated due to the flood.,Nhiều gia đình được sơ tán do lũ lụt.,B1,,,,,The heavy rains caused severe _____________.,Many families were evacuated due to the _____________.,AIDS,bệnh AIDS (một hội chứng suy giảm miễn dịch do virus HIV gây ra),migrants,"người di cư sang quốc gia khác, thường để tìm việc hoặc cuộc sống tốt hơn",dead,"Đã chết, không còn hoạt động",stain,"vết ố, vết bẩn khó tẩy",get on well,"hòa hợp, có mối quan hệ tốt",Global problems
